,DCODE,EV_COUNT,MPS_COUNT,BLDG_COUNT,MA_HH,EDU_PERCENT,T_POP,T_WP
0,C0,0.0,0.0,17.0,227.5,0.2694575471698113,1.696,0.6
1,D0,0.0,0.0,2.0,227.5,0.2694575471698113,1.696,0.6
2,E0,0.0,0.0,1.0,227.5,0.2694575471698113,1.696,0.6
3,F0,0.0,0.0,4.0,163.75,0.20039050071827305,3.653,1.505
4,C1,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
5,D1,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
6,E1,0.0,0.0,2.0,163.75,0.20039050071827305,3.653,1.505
7,F1,0.0,0.0,422.0,151.16666666666666,0.19493102260051787,4.979,2.088
8,G1,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
9,D2,0.0,0.0,9.0,227.5,0.2694575471698113,1.696,0.6
10,E2,0.0,16.0,50.0,227.5,0.2694575471698113,1.696,0.6
11,F2,0.0,0.0,122.0,227.5,0.2694575471698113,1.696,0.6
12,G2,0.0,0.0,5.0,227.5,0.2694575471698113,1.696,0.6
13,H2,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
14,I2,0.0,0.0,0.0,206.4,0.28292354328056585,2.969,1.583
15,K2,0.0,0.0,3.0,240.5,0.26109936575052856,1.892,0.919
16,L2,0.0,0.0,1.0,240.5,0.26109936575052856,1.892,0.919
17,M2,0.0,0.0,2.0,240.5,0.26109936575052856,1.892,0.919
18,A3,0.0,0.0,10.0,227.5,0.2694575471698113,1.696,0.6
19,B3,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
20,C3,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
21,D3,0.0,0.0,17.0,227.5,0.2694575471698113,1.696,0.6
22,E3,0.0,0.0,2.0,227.5,0.2694575471698113,1.696,0.6
23,F3,0.0,38.0,57.0,216.95,0.2761905452251886,4.665,2.183
24,G3,0.0,0.0,1.0,207.96666666666667,0.26015593370023565,5.726,2.699
25,H3,0.0,0.0,95.0,216.95,0.2761905452251886,4.665,2.183
26,I3,0.0,0.0,11.0,206.4,0.28292354328056585,2.969,1.583
27,J3,0.0,0.0,1.0,206.4,0.28292354328056585,2.969,1.583
28,N3,0.0,0.0,0.0,240.5,0.26109936575052856,1.892,0.919
29,O3,0.0,0.0,39.0,240.5,0.26109936575052856,1.892,0.919
30,A4,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
31,B4,0.0,0.0,4.0,227.5,0.2694575471698113,1.696,0.6
32,C4,0.0,0.0,0.0,227.5,0.2694575471698113,1.696,0.6
33,D4,0.0,0.0,22.0,232.5,0.3037953078450844,3.71,1.333
34,E4,0.0,0.0,113.0,232.5,0.3037953078450844,3.71,1.333
35,F4,0.0,0.0,20.0,216.95,0.2761905452251886,4.665,2.183
36,G4,0.0,0.0,103.0,207.96666666666667,0.26015593370023565,5.726,2.699
37,H4,0.0,0.0,31.0,207.96666666666667,0.26015593370023565,5.726,2.699
38,I4,0.0,0.0,21.0,206.4,0.28292354328056585,2.969,1.583
39,J4,0.0,0.0,2.0,206.4,0.28292354328056585,2.969,1.583
40,L4,0.0,0.0,14.0,320.0,0.25822823746539525,6.502,2.982
41,M4,0.0,0.0,17.0,280.25,0.2596638016079619,8.394,3.901
42,N4,0.0,0.0,11.0,240.5,0.26109936575052856,1.892,0.919
43,O4,0.0,0.0,15.0,240.5,0.26109936575052856,1.892,0.919
44,P4,0.0,0.0,0.0,240.5,0.26109936575052856,1.892,0.919
45,D5,0.0,0.0,0.0,237.5,0.3381330685203575,2.014,0.733
46,E5,0.0,0.0,80.0,235.0,0.3113866837758183,5.287,2.133
47,F5,0.0,0.0,2.0,224.63333333333333,0.2929835086958877,6.242,2.983
48,G5,0.0,75.0,113.0,200.46666666666667,0.2382679615697357,41.303,20.725
49,H5,4.0,30.0,255.0,266.3,0.3104873950484506,85.342,44.006
50,I5,0.0,0.0,43.0,206.4,0.28292354328056585,2.969,1.583
51,J5,0.0,0.0,34.0,206.4,0.28292354328056585,2.969,1.583
52,L5,0.0,52.0,27.0,320.0,0.25822823746539525,6.502,2.982
53,M5,0.0,0.0,5.0,280.25,0.2596638016079619,8.394,3.901
54,N5,0.0,0.0,0.0,220.25,0.2225670446416353,28.387,14.541
55,O5,0.0,0.0,1.0,192.75,0.1777297262592122,3.736,1.796
56,P5,0.0,0.0,15.0,192.75,0.1777297262592122,3.736,1.796
57,E6,0.0,0.0,25.0,240.0,0.32656943563728597,1.577,0.8
58,F6,0.0,0.0,20.0,223.2,0.3047464894589259,4.546,2.383
59,G6,0.0,0.0,0.0,218.13333333333333,0.29683909102470746,6.069,3.241
60,H6,0.0,0.0,21.0,267.3,0.33623094950777027,49.592,26.238
61,I6,0.0,0.0,29.0,207.2,0.28197391871841815,4.492,2.441
62,J6,0.0,0.0,24.0,206.4,0.28292354328056585,2.969,1.583
63,K6,0.0,0.0,0.0,206.4,0.28292354328056585,2.969,1.583
64,L6,0.0,0.0,4.0,320.0,0.25822823746539525,6.502,2.982
65,M6,1.0,189.0,244.0,278.7785714285714,0.25695438714800517,121.638,61.438
66,N6,1.0,97.0,192.0,232.36363636363637,0.2058540279741394,132.15,65.894
67,O6,0.0,9.0,77.0,273.7,0.20979975277447083,78.248,39.208
68,P6,0.0,0.0,7.0,192.75,0.1777297262592122,3.736,1.796
69,Q6,0.0,0.0,1.0,145.0,0.09436008676789588,1.844,0.877
70,B7,0.0,0.0,0.0,281.0,0.2871729419272495,1.567,0.871
71,C7,0.0,0.0,15.0,281.0,0.2871729419272495,1.567,0.871
72,D7,0.0,0.0,19.0,281.0,0.2871729419272495,1.567,0.871
73,E7,0.0,5.0,18.0,260.5,0.3068711887822677,3.144,1.671
74,F7,0.0,0.0,14.0,233.075,0.29974092217924764,7.55,3.586
75,G7,0.0,0.0,7.0,227.74,0.29637744639951125,10.519,5.169
76,H7,0.0,0.0,14.0,208.0,0.2810242941562705,1.523,0.858
77,I7,0.0,0.0,16.0,208.0,0.2810242941562705,1.523,0.858
