ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq,,,,,,
11101S,111/01-02 and 111/37-38,111/01-02 及 111/37-38, 1 766,  418,  433,,,,,,
11103,111/03,111/03, 1 539,  670,  670,,,,,,
11104,111/04,111/04, 2 269,  818,  810,,,,,,
11105,111/05,111/05, 1 210,  428,  428,,,,,,
11106,111/06,111/06, 1 032,  414,  424,,,,,,
11107,111/07,111/07, 2 189,  721,  742,,,,,,
11108,111/08,111/08,  649,  280,  280,,,,,,
11109,111/09,111/09,  879,  383,  391,,,,,,
11110,111/10,111/10, 1 041,  399,  409,,,,,,
11111,111/11,111/11, 2 102,  868,  868,,,,,,
11112,111/12,111/12, 2 888, 1 204, 1 185,,,,,,
11113S,111/13 and 111/15,111/13 及 111/15, 1 058,  402,  402,,,,,,
11114S,111/14 and 111/40-42,111/14 及 111/40-42, 1 637,  660,  671,,,,,,
11116S,111/16-17,111/16-17, 8 962, 2 544, 2 578,,,,,,
11118S,111/18-20,111/18-20, 2 910, 1 069, 1 069,,,,,,
11121,111/21,111/21, 1 660,  729,  740,,,,,,
11122,111/22,111/22, 5 175, 2 053, 2 042,,,,,,
11123,111/23,111/23,  909,  382,  382,,,,,,
11124,111/24,111/24, 1 265,  470,  482,,,,,,
11125,111/25,111/25, 1 830,  737,  725,,,,,,
11126,111/26,111/26, 8 674, 3 205, 3 520,,,,,,
11127,111/27,111/27,  805,  302,  322,,,,,,
11128,111/28,111/28,  858,  353,  353,,,,,,
11129S,111/29-30,111/29-30, 1 092,  393,  393,,,,,,
11131S,111/31-32,111/31-32,  713,  313,  313,,,,,,
11135S,111/35 and 111/43,111/35 及 111/43, 1 668,  595,  736,,,,,,
11139,111/39,111/39, 2 149,  678,  685,,,,,,
11144S,111/44 and 111/46-49,111/44 及 111/46-49,  709,  164,  164,,,,,,
11145,111/45,111/45,  537,  165,  165,,,,,,
11150,111/50,111/50, 2 097,  615,  615,,,,,,
11201S,"112/01, 112/48 and 112/54-56","112/01, 112/48 及 112/54-56",  466,  130,  130,,,,,,
11202,112/02,112/02,  934,  350,  326,,,,,,
11203,112/03,112/03, 2 564,  997,  997,,,,,,
11204S,112/04 and 112/10,112/04 及 112/10,  622,  240,  240,,,,,,
11205,112/05,112/05, 2 824,  970,  994,,,,,,
11206,112/06,112/06, 2 740, 1 130, 1 142,,,,,,
11207,112/07,112/07,  695,  273,  285,,,,,,
