PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
1,1A,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Areas,海灣,海湾,ISLAND ROAD,香島道,香岛道,The Hong Kong Golf Club,香港哥爾夫球會,香港哥尔夫球会,22.2459056,114.1862428,A,30,D,15,2
1,1B,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Areas,海灣,海湾,ISLAND ROAD,香島道,香岛道,The Hong Kong Golf Club,香港哥爾夫球會,香港哥尔夫球会,22.2459185,114.1862223,A,30,D,15,2
10,10B,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Areas,海灣,海湾,ISLAND ROAD,香島道,香岛道,NW of Deep Water Bay Beach Restaurant (Coconuts Thai),深水灣香島道,深水湾香岛道,22.24542504,114.186874,A,120,D,15,2
100,100A,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Area,海灣,海湾,South Bay Road,南灣道,南湾道,South Bay Beach,南灣,南湾,22.22444014,114.1980489,A,120,D,15,2
100,100B,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Area,海灣,海湾,South Bay Road,南灣道,南湾道,South Bay Beach,南灣,南湾,22.2244273,114.1980309,A,120,D,15,2
10006,10006A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32963531,114.1600389,A,60,D,15,2
10006,10006B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32960808,114.1600744,A,60,D,15,2
10007,10007A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32970197,114.1599542,A,60,D,15,2
10007,10007B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.3296733,114.1599912,A,60,D,15,2
10008,10008A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.3297679,114.1598671,A,60,D,15,2
10008,10008B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32973923,114.1599041,A,60,D,15,2
10009,10009A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32983384,114.1597831,A,60,D,15,2
10009,10009B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32980589,114.1598163,A,60,D,15,2
1001,1001A,Hong Kong,香港島,香港岛,Wan Chai,灣仔,湾仔,Tai Hang,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.27658428,114.1948877,C,120,D,15,2
10010,10010A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32956938,114.1601283,A,60,D,15,2
10010,10010B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong South,南昌南,南昌南,TAI NAN STREET,大南街,大南街,TAI NAN STREET S 2,大南街南2,大南街南2,22.32954071,114.1601653,A,60,D,15,2
10012,10012A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32956818,114.1602691,G,60,A,30,2
10012,10012B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32963125,114.1601849,G,60,A,30,2
10013,10013A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.3296905,114.1601078,G,60,A,30,2
10013,10013B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32975548,114.1600215,G,60,A,30,2
10014,10014A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32982142,114.1599373,G,60,A,30,2
10014,10014B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32988353,114.1598572,G,60,A,30,2
10015,10015A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.32995043,114.1597709,G,60,A,30,2
10015,10015B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,TAI NAN STREET,大南街,大南街,Tai Nan Street S 1,大南街南1,大南街南1,22.33000872,114.1596938,G,60,A,30,2
1002,1002A,Hong Kong,香港島,香港岛,Wan Chai,灣仔,湾仔,Tai Hang,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2766984,114.1945873,A,30,D,15,2
10021,10021A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32730669,114.1611631,A,30,D,15,2
10021,10021B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.327335,114.161128,A,30,D,15,2
10022,10022A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32737155,114.1610779,A,30,D,15,2
10022,10022B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32740165,114.1610398,A,30,D,15,2
10023,10023A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32743713,114.1609916,A,30,D,15,2
10023,10023B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32746616,114.1609562,A,30,D,15,2
10024,10024A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32750558,114.1609046,A,30,D,15,2
10024,10024B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32753424,114.160868,A,30,D,15,2
10025,10025A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32756685,114.1608217,A,30,D,15,2
10025,10025B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32759803,114.1607832,A,30,D,15,2
